Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10),Total Reviews,Duration (min),Gross Revenue,Budget
Young Frankenstein,17-06-1974,Black and White,Comedy,English,USA,Parental Guidance,Madeline Kahn,Mel Brooks,1000,2703,0,14000,8.0,129.0,106,86300000,2800000
Jaws,16-02-1975,Color,Adventure,English,USA,Parental Guidance,Roy Scheider,Steven Spielberg,813,2047,14000,21000,8.0,385.0,130,260000000,8000000
Monty Python and the Holy Grail,21-06-1975,Color,Adventure,English,UK,Parental Guidance,Eric Idle,Terry Gilliam,795,2158,0,14000,8.3,131.0,91,1229197,229575
One Flew Over the Cuckoo's Nest,30-05-1975,Color,Drama,English,USA,Over 18,Scatman Crothers,Milos Forman,888,2176,869,32000,8.7,149.0,133,112000000,4400000
Logan's Run,05-10-1976,Color,Action,English,USA,Parental Guidance,Farrah Fawcett,Michael Anderson,1000,2951,23,0,6.8,112.0,119,25000000,9000000
Rocky,16-11-1976,Color,Drama,English,USA,Parental Guidance,Sylvester Stallone,John G. Avildsen,13000,16094,80,0,8.1,141.0,145,117235247,960000
A Bridge Too Far,21-08-1977,Black and White,Drama,English,USA,Parental Guidance,Ryan O'Neal,Richard Attenborough,385,669,0,0,7.4,56.0,175,50800000,26000000
Annie Hall,17-05-1977,Color,Comedy,English,USA,Parental Guidance,Woody Allen,Woody Allen,11000,12691,11000,0,8.1,154.0,93,39200000,4000000
Close Encounters of the Third Kind,11-12-1977,Color,Drama,English,USA,Parental Guidance,Bob Balaban,Steven Spielberg,559,1591,14000,0,7.7,171.0,135,128300000,19400870
Kingdom of the Spiders,02-01-1977,Color,Horror,English,USA,Parental Guidance,Woody Strode,John 'Bud' Cardos,423,516,8,0,5.9,95.0,97,17000000,500000
March or Die,28-05-1977,Color,Adventure,English,UK,Parental Guidance,Catherine Deneuve,Dick Richards,963,2209,6,122,6.3,6.0,107,1000000,9000000
Star Wars: Episode IV - A New Hope,07-02-1977,Color,Action,English,USA,Parental Guidance,Harrison Ford,George Lucas,11000,13485,0,33000,8.7,282.0,125,460935665,11000000
The Spy Who Loved Me,01-08-1977,Color,Action,English,UK,Parental Guidance,Caroline Munro,Lewis Gilbert,456,1326,43,0,7.1,112.0,123,46800000,14000000
Animal House,06-09-1978,Color,Comedy,English,USA,Over 18,John Belushi,John Landis,1000,3468,644,0,7.6,94.0,109,141600000,3000000
Caravans,17-04-1978,Color,Action,English,Iran,Parental Guidance,Christopher Lee,James Fargo,16000,17250,109,76,6.5,2.0,127,1000000,14000000
Grease,18-08-1978,Color,Musical,English,USA,Teens,Olivia Newton-John,Randal Kleiser,1000,5127,116,13000,7.2,124.0,110,181360000,6000000
Halloween,27-08-1978,Color,Horror,English,USA,Over 18,Jamie Lee Curtis,John Carpenter,2000,4400,0,12000,7.9,318.0,101,47000000,300000
Jaws 2,06-06-1978,Color,Adventure,English,USA,Parental Guidance,Roy Scheider,Jeannot Szwarc,813,1520,82,0,5.7,75.0,131,102922376,20000000
Superman,10-05-1978,Color,Action,English,USA,Parental Guidance,Marlon Brando,Richard Donner,10000,12940,503,0,7.3,169.0,188,134218018,55000000
The Wiz,17-07-1978,Color,Adventure,English,USA,General,Lena Horne,Sidney Lumet,738,1458,0,0,5.2,32.0,118,13000000,24000000
Alien,03-10-1979,Color,Horror,English,UK,Over 18,Tom Skerritt,Ridley Scott,1000,2524,0,23000,8.5,392.0,116,78900000,11000000
Apocalypse Now,08-09-1979,Color,Drama,English,USA,Over 18,Harrison Ford,Francis Ford Coppola,11000,25313,0,19000,8.5,261.0,289,78800000,31500000
Escape from Alcatraz,05-05-1979,Color,Biography,English,USA,Parental Guidance,Clint Eastwood,Don Siegel,16000,17568,152,0,7.6,53.0,112,36500000,8000000
Moonraker,23-09-1979,Color,Action,English,UK,Parental Guidance,Desmond Llewelyn,Lewis Gilbert,244,1008,43,0,6.3,121.0,126,62700000,34000000
Star Trek: The Motion Picture,02-11-1979,Color,Adventure,English,USA,Parental Guidance,Leonard Nimoy,Robert Wise,12000,16007,338,0,6.4,134.0,143,82300000,35000000
The Rose,08-05-1979,Color,Drama,English,USA,Over 18,David Keith,Mark Rydell,563,1097,43,1000,6.9,32.0,125,29200000,8500000
Airplane!,09-07-1980,Color,Comedy,English,USA,Parental Guidance,Peter Graves,Jim Abrahams,628,2726,104,16000,7.8,134.0,88,83400000,3500000
Caddyshack,13-10-1980,Color,Comedy,English,USA,Over 18,Bill Murray,Harold Ramis,13000,14921,11000,0,7.4,71.0,98,39800000,6000000
Can't Stop the Music,10-11-1980,Color,Biography,English,USA,Parental Guidance,Steve Guttenberg,Nancy Walker,801,1462,42,1000,4.5,26.0,124,2000000,20000000
Dressed to Kill,16-06-1980,Color,Mystery,English,USA,Sexually Explicit,Angie Dickinson,Brian De Palma,754,2442,0,0,7.1,121.0,104,31899000,6500000
Heaven's Gate,10-02-1980,Color,Adventure,English,USA,Over 18,Jeff Bridges,Michael Cimino,12000,14255,517,1000,6.8,102.0,325,1500000,44000000
Ordinary People,21-02-1980,Color,Drama,English,USA,Over 18,Adam Baldwin,Robert Redford,2000,5122,0,0,7.8,62.0,124,54800000,6000000
Private Benjamin,10-07-1980,Color,Comedy,English,USA,Over 18,Eileen Brennan,Howard Zieff,1000,2419,6,855,6.1,25.0,109,69800000,10000000
Raging Bull,28-07-1980,Black and White,Biography,English,USA,Over 18,Robert De Niro,Martin Scorsese,22000,23008,17000,0,8.3,151.0,121,45250,18000000
Raise the Titanic,16-09-1980,Color,Action,English,UK,Parental Guidance,M. Emmet Walsh,Jerry Jameson,521,1883,5,328,4.7,32.0,119,7000000,36000000
Star Wars: Episode V - The Empire Strikes Back,20-04-1980,Color,Action,English,USA,Parental Guidance,Harrison Ford,Irvin Kershner,11000,12643,883,17000,8.8,223.0,127,290158751,18000000
Superman II,13-10-1980,Color,Action,English,USA,Parental Guidance,Margot Kidder,Richard Lester,593,2908,44,0,6.8,121.0,116,108200000,54000000
The Blues Brothers,17-08-1980,Color,Action,English,USA,Over 18,John Belushi,John Landis,1000,2566,644,14000,7.9,125.0,148,54200000,27000000
The Fog,09-08-1980,Color,Fantasy,English,USA,Over 18,Jamie Lee Curtis,John Carpenter,2000,4877,0,7000,6.8,212.0,89,21378000,1000000
Chariots of Fire,07-08-1981,Color,Biography,English,UK,Parental Guidance,Alice Krige,Hugh Hudson,368,1651,46,0,7.2,90.0,125,58800000,5500000
Das Boot,03-07-1981,Color,Adventure,German,West Germany,Over 18,JÃ¼rgen Prochnow,Wolfgang Petersen,362,469,249,11000,8.4,96.0,293,11433134,14000000
Dragonslayer,29-04-1981,Color,Action,English,USA,Parental Guidance,Ian McDiarmid,Matthew Robbins,1000,1263,25,0,6.7,60.0,108,6000000,18000000
Escape from New York,28-09-1981,Color,Action,English,UK,Over 18,Donald Pleasence,John Carpenter,742,2270,0,0,7.2,201.0,106,25244700,6000000
For Your Eyes Only,18-03-1981,Color,Action,English,UK,Parental Guidance,Julian Glover,John Glen,844,2118,46,2000,6.8,112.0,127,62300000,28000000
Friday the 13th Part 2,09-01-1981,Color,Horror,English,USA,Over 18,Betsy Palmer,Steve Miner,309,707,49,0,6.1,242.0,87,19100000,1250000
Mad Max 2: The Road Warrior,11-09-1981,Black and White,Action,English,Australia,Over 18,Vernon Wells,George Miller,745,1396,750,0,7.6,177.0,87,9003011,2000000
Porky's,07-07-1981,Color,Comedy,English,Canada,Over 18,Art Hindle,Bob Clark,110,582,84,0,6.2,75.0,94,105500000,4000000
Raiders of the Lost Ark,16-05-1981,Color,Action,English,USA,Parental Guidance,Harrison Ford,Steven Spielberg,11000,12906,14000,16000,8.5,234.0,115,242374454,18000000
Roar,10-08-1981,Color,Adventure,English,USA,Parental Guidance,Tippi Hedren,Noel Marshall,634,1262,4,0,6.4,50.0,102,2000000,17000000
Sphinx,13-05-1981,Color,Adventure,English,USA,Parental Guidance,Frank Langella,Franklin J. Schaffner,902,2079,76,106,5.2,2.0,118,800000,14000000
Stripes,09-11-1981,Color,Action,English,USA,Over 18,Bill Murray,Ivan Reitman,13000,27378,425,0,6.9,52.0,117,85300000,10000000
The Beyond,07-12-1981,Black and White,Horror,Italian,Italy,Sexually Explicit,Catriona MacColl,Lucio Fulci,48,123,385,2000,6.9,203.0,82,126387,400000
The Howling,15-06-1981,Color,Horror,English,USA,Over 18,Patrick Macnee,Joe Dante,1000,4438,287,0,6.6,161.0,91,17986000,1000000
The Legend of the Lone Ranger,28-01-1981,Color,Action,English,USA,Parental Guidance,Jason Robards,William A. Fraker,372,927,28,346,5.0,25.0,98,8000000,18000000
Time Bandits,04-04-1981,Color,Adventure,English,UK,Parental Guidance,Shelley Duvall,Terry Gilliam,629,2730,0,0,7.0,139.0,103,42365600,5000000
Under the Rainbow,09-07-1981,Color,Comedy,English,USA,Parental Guidance,Mako,Steve Rash,691,1761,15,501,5.4,13.0,98,8500000,20000000
Blade Runner,09-12-1982,Color,Sci-Fi,English,USA,Over 18,Harrison Ford,Ridley Scott,11000,13877,0,34000,8.2,302.0,117,27000000,28000000
Conan the Barbarian,12-08-1982,Color,Adventure,English,USA,Over 18,William Smith,John Milius,919,2024,468,0,6.9,166.0,129,37567440,20000000
Diner,27-04-1982,Color,Comedy,English,USA,Over 18,Steve Guttenberg,Barry Levinson,801,2943,272,0,7.2,42.0,110,14100000,5000000
E.T. the Extra-Terrestrial,24-10-1982,Color,Family,English,USA,Parental Guidance,Henry Thomas,Steven Spielberg,861,2811,14000,34000,7.9,215.0,120,434949459,10500000
Firefox,07-07-1982,Color,Action,English,USA,Parental Guidance,Clint Eastwood,Clint Eastwood,16000,16805,16000,0,5.9,43.0,136,46700000,21000000
Friday the 13th Part III,23-01-1982,Color,Horror,English,USA,Over 18,Richard Brooker,Steve Miner,72,174,49,0,5.7,235.0,91,36200000,4000000
Halloween III: Season of the Witch,30-06-1982,Color,Horror,English,USA,Over 18,Tom Atkins,Tommy Lee Wallace,381,684,24,0,4.6,162.0,98,14400000,2500000
Megaforce,02-03-1982,Color,Action,English,USA,Parental Guidance,Barry Bostwick,Hal Needham,456,1356,379,0,3.5,40.0,99,5333658,20000000
Poltergeist,16-07-1982,Color,Fantasy,English,USA,Parental Guidance,Heather O'Rourke,Tobe Hooper,887,3876,365,11000,7.4,223.0,120,76600000,10700000
Star Trek II: The Wrath of Khan,05-12-1982,Color,Action,English,USA,Parental Guidance,Leonard Nimoy,Nicholas Meyer,12000,16539,120,0,7.7,148.0,116,78900000,11000000
The Best Little Whorehouse in Texas,02-12-1982,Color,Comedy,English,USA,Over 18,Dolly Parton,Colin Higgins,1000,3688,19,0,5.8,11.0,114,69700000,35000000
The Thing,24-02-1982,Color,Horror,English,USA,Over 18,Wilford Brimley,John Carpenter,957,1757,0,23000,8.2,297.0,109,13782838,15000000
The Verdict,11-02-1982,Color,Drama,English,USA,Over 18,Charlotte Rampling,Sidney Lumet,844,2330,0,0,7.8,79.0,129,54000000,16000000
Tootsie,19-10-1982,Color,Comedy,English,USA,Parental Guidance,Bill Murray,Sydney Pollack,13000,14701,521,0,7.4,94.0,116,177200000,22000000
Flashdance,01-01-1983,Color,Drama,English,USA,Over 18,Michael Nouri,Adrian Lyne,225,791,213,0,6.1,51.0,95,94900000,4000000
Lone Wolf McQuade,20-07-1983,Color,Action,English,USA,Parental Guidance,David Carradine,Steve Carver,926,2383,8,0,6.3,29.0,107,12200000,5000000
National Lampoon's Vacation,27-06-1983,Color,Adventure,English,USA,Over 18,Beverly D'Angelo,Harold Ramis,816,3617,11000,0,7.4,55.0,98,61400000,15000000
Never Say Never Again,23-04-1983,Color,Action,English,UK,Parental Guidance,Bernie Casey,Irvin Kershner,180,762,883,0,6.2,89.0,121,55500000,36000000
Octopussy,19-01-1983,Color,Action,English,UK,Parental Guidance,Louis Jourdan,John Glen,594,1898,46,0,6.6,106.0,131,67900000,27500000
Scarface,05-03-1983,Color,Crime,English,USA,Over 18,Al Pacino,Brian De Palma,14000,16464,0,19000,8.3,147.0,142,44700000,25000000
Star Wars: Episode VI - Return of the Jedi,24-12-1983,Color,Action,English,USA,Parental Guidance,Harrison Ford,Richard Marquand,11000,13649,37,14000,8.4,197.0,134,309125409,32500000
Superman III,18-08-1983,Color,Action,English,UK,Parental Guidance,Margot Kidder,Richard Lester,593,2329,44,0,4.9,95.0,125,60000000,39000000
The Outsiders,21-02-1983,Color,Crime,English,USA,Teens,Tom Cruise,Francis Ford Coppola,10000,12097,0,10000,7.2,60.0,114,25600000,10000000
The Right Stuff,23-03-1983,Color,Adventure,English,USA,Parental Guidance,Dennis Quaid,Philip Kaufman,2000,6341,133,0,7.9,80.0,193,21500000,27000000
Twilight Zone: The Movie,12-01-1983,Color,Fantasy,English,USA,Parental Guidance,Albert Brooks,Joe Dante,745,1954,287,0,6.5,78.0,101,29500000,10000000
WarGames,28-06-1983,Color,Sci-Fi,English,USA,Parental Guidance,Matthew Broderick,John Badham,2000,4537,139,0,7.1,84.0,114,79568000,12000000
Yentl,30-10-1983,Color,Drama,English,UK,Parental Guidance,Miriam Margolyes,Barbra Streisand,405,914,0,0,6.6,16.0,132,30400000,12000000
A Nightmare on Elm Street,13-04-1984,Color,Horror,English,USA,Sexually Explicit,Johnny Depp,Wes Craven,40000,42918,0,10000,7.5,256.0,101,26505000,1800000
A Passage to India,24-12-1984,Color,Adventure,English,UK,Parental Guidance,Richard Wilson,David Lean,358,1334,767,845,7.4,52.0,164,26400000,16000000
Amadeus,19-02-1984,Color,Biography,English,USA,Over 18,Jeffrey Jones,Milos Forman,692,3076,869,16000,8.3,134.0,180,51600000,18000000
Beverly Hills Cop,04-02-1984,Color,Action,English,USA,Over 18,Judge Reinhold,Martin Brest,901,3464,102,0,7.3,94.0,105,234760500,14000000
Conan the Destroyer,14-06-1984,Color,Action,English,USA,Parental Guidance,Mako,Richard Fleischer,691,2481,130,2000,5.8,77.0,103,26400000,18000000
Dune,10-09-1984,Color,Action,English,USA,Teens,Virginia Madsen,David Lynch,913,2449,0,11000,6.6,144.0,177,27400000,40000000
Firestarter,20-09-1984,Color,Action,English,USA,Over 18,Heather Locklear,Mark L. Lester,695,3444,73,0,6.0,45.0,114,15100000,15000000
Footloose,06-04-1984,Color,Drama,English,USA,Parental Guidance,Dianne Wiest,Herbert Ross,967,1962,71,0,6.5,60.0,107,80000000,8200000
Friday the 13th: The Final Chapter,21-02-1984,Color,Horror,English,USA,Over 18,Judie Aronson,Joseph Zito,158,467,17,0,5.9,166.0,97,32600000,1800000
Gremlins,25-10-1984,Color,Comedy,English,USA,Parental Guidance,Phoebe Cates,Joe Dante,767,2053,287,14000,7.2,183.0,106,148170000,11000000
Indiana Jones and the Temple of Doom,30-10-1984,Color,Action,English,USA,Parental Guidance,Harrison Ford,Steven Spielberg,11000,11898,14000,0,7.6,148.0,118,179870271,28000000
Once Upon a Time in America,23-09-1984,Color,Crime,English,Italy,Over 18,Robert De Niro,Sergio Leone,22000,24719,0,12000,8.4,111.0,251,5300000,30000000
Police Academy,05-04-1984,Color,Comedy,English,USA,Over 18,Steve Guttenberg,Hugh Wilson,801,3113,37,0,6.7,45.0,96,81200000,4500000
Splash,08-10-1984,Color,Comedy,English,USA,Parental Guidance,Tom Hanks,Ron Howard,15000,15361,2000,0,6.2,43.0,111,69800000,8000000
Star Trek III: The Search for Spock,12-10-1984,Color,Action,English,USA,Parental Guidance,Leonard Nimoy,Leonard Nimoy,12000,14762,12000,0,6.6,110.0,105,76400000,17000000
The Bounty,18-02-1984,Color,Action,English,UK,Parental Guidance,Liam Neeson,Roger Donaldson,14000,28094,79,1000,7.0,29.0,132,8600000,25000000
The Cotton Club,20-11-1984,Color,Crime,English,USA,Over 18,Nicolas Cage,Francis Ford Coppola,12000,18793,0,828,6.5,36.0,123,25900000,58000000
The Hotel New Hampshire,05-10-1984,Color,Comedy,English,UK,Over 18,Joely Richardson,Tony Richardson,584,2024,62,345,6.0,9.0,109,5100000,7500000
The Karate Kid,17-10-1984,Color,Action,English,USA,Parental Guidance,Martin Kove,John G. Avildsen,668,2004,80,0,7.2,81.0,126,90800000,8000000
The Terminator,07-09-1984,Color,Action,English,UK,Over 18,Michael Biehn,James Cameron,2000,3582,0,13000,8.1,204.0,107,38400000,6500000
A Nightmare on Elm Street 2: Freddy's Revenge,28-03-1985,Color,Fantasy,English,USA,Over 18,Clu Gulager,Jack Sholder,426,1472,28,0,5.4,138.0,87,30000000,2200000
A Room with a View,16-11-1985,Color,Drama,English,UK,Unrated,Julian Sands,James Ivory,687,1665,133,0,7.4,55.0,117,20966644,3000000
A View to a Kill,06-04-1985,Color,Action,English,UK,Parental Guidance,Patrick Macnee,John Glen,1000,2943,46,0,6.3,108.0,131,50300000,30000000
Back to the Future,05-12-1985,Color,Adventure,English,USA,Parental Guidance,Lea Thompson,Robert Zemeckis,1000,3230,0,39000,8.5,198.0,116,210609762,19000000
